v_id,lon,lat,color
9257,-84.40536693,34.24248203,ko
9526,-93.44017259,44.75311993,ro
10700,-75.59206045,42.44785181,ko
9520,-123.8293196,45.45792356,ko
10706,-82.73408236,27.77144123,ko
9250,-91.63888664,41.94473876,ro
10704,-75.50984202,42.52138702,ro
24883,-91.43007561,45.82057387,ko
24882,-82.45456608,27.46140655,ko
24881,-81.95620744,26.94674528,ko
24880,-81.77895915,26.73900281,ko
24887,-61.11902203,45.97768127,ko
21618,-96.90881043,46.95327822,ro
24885,-61.17269592,45.8744428,ko
24884,-61.21841837,45.78994701,ko
21615,-97.20150436,46.89363171,ko
21614,-97.20027268,46.89362078,ko
24889,-61.00473989,45.999235,ko
21616,-97.20024591,46.89790057,ko
21611,-96.95265082,46.7752548,ko
21610,-77.65079932,43.09938957,ko
21613,-97.20151784,46.89064909,ko
21612,-97.20029514,46.8906443,ko
3347,-95.73901045,29.74553927,ko
27030,-103.1614467,34.39435459,ro
26023,-92.48664898,49.69300797,ko
26022,-105.9573295,40.09118207,ko
26020,-79.64599655,47.41898917,ko
26027,-105.8556894,40.22494672,ko
26026,-105.8546361,40.22433038,ko
26024,-92.48486798,49.69149498,ko
10619,-80.04952632,42.80552872,ro
26029,-76.40986919,43.51216812,ro
26028,-76.41046998,43.51397316,ro
19393,-122.2012442,48.50494932,ro
5987,-73.89739176,44.73360148,ko
22874,-102.4108606,34.1599078,ro
22875,-102.4593081,34.16086141,ko
22876,-102.4085118,34.16102212,ro
22877,-102.4110305,34.16225967,ro
19391,-82.92307487,40.26202852,ko
22872,-120.6318346,41.5388128,ko
22873,-120.6322204,41.53882067,ko
5985,-95.47025584,46.32627835,ro
22878,-102.4094387,34.16261846,ro
22879,-102.409732,34.1626227,ro
26192,-103.8052645,19.29145031,ko
3519,-100.6136959,28.67398001,ko
3518,-112.2734679,33.80233024,ro
3513,-80.91548322,28.38398292,ko
3512,-104.5773498,39.63880319,ko
3511,-83.45672014,42.71070961,ko
3510,-88.04677855,41.89539065,ko
3517,-109.8931923,32.05999221,ro
3516,-80.41609201,27.37203279,ro
3515,-66.59679691,45.96712273,ko
25857,-111.8903732,33.58220528,ko
2684,-81.32544857,41.68732391,ko
2680,-80.82057815,41.82258393,ko
2681,-81.43999547,41.67215692,ko
2683,-81.38357808,41.65490895,ko
23775,-79.5520352,34.68943962,ro
14625,-80.26432682,26.22919181,ro
14626,-79.7811634,35.36742093,ko
14627,-101.6400483,36.58765872,ko
14620,-82.8428059,40.45347198,ko
14621,-117.6131594,49.00674927,ko
14622,-111.1521439,55.66008847,ko
14623,-111.6489824,55.04415152,ko
16768,-81.37216555,29.01490025,ko
14628,-81.31623555,38.79208482,ko
19929,-81.25151063,28.5027254,ro
25856,-94.65630569,31.35396376,ko
99,-111.9493891,41.18826314,ko
92,-76.51304955,39.22981263,ko
94,-88.17330546,43.00862864,ro
97,-88.05378,43.02872732,ko
4527,-112.1291184,33.57150269,ko
30413,-78.22507786,34.32365025,ko
30412,-81.32258292,35.63173017,ro
30415,-80.9940875,35.33101995,ko
30417,-94.49312873,33.26018441,ro
30416,-80.99487146,35.3439065,ko
30419,-93.89702913,41.49998897,ro
30418,-94.49070153,33.27984996,ro
13059,-120.1605832,46.95325771,ko
21098,-69.93775362,48.24241438,ko
18703,-80.85340021,35.41661529,ko
18700,-81.92755738,35.72292179,ko
18707,-79.74708487,35.761003,ro
18706,-79.70818494,35.74718597,ro
18705,-79.03418195,36.47262317,ko
18704,-77.64543494,36.48312322,ko
18709,-79.64939389,35.74836196,ro
18708,-79.62457694,35.79131601,ko
6265,-97.65387521,47.23995249,ko
17828,-101.1052055,52.7413225,ko
17827,-81.33824298,42.74711036,ro
17826,-62.71773757,44.79824209,ko
17824,-120.444251,34.95036036,ko
17821,-65.97854875,47.91678228,ko
519,-83.85475562,39.39767395,ko
29382,-104.6815436,38.12117504,ko
27572,-99.58928163,17.92574881,ro
27573,-99.99086378,17.95232976,ro
20250,-120.9570655,39.16081222,ko
20251,-122.8394593,49.17235968,ko
27577,-81.32361948,28.90504277,ko
27574,-122.6496305,45.67874731,ko
29819,-72.64769618,46.5000106,ko
29818,-105.2353903,40.36769852,ko
29765,-79.43680997,41.19132415,ko
29816,-92.81804723,32.56959436,ko
29815,-92.12714787,30.1309456,ko
29766,-87.6837701,32.59502403,ko
29761,-79.53336889,43.62592586,ko
29812,-117.9288038,33.80704997,ko
29811,-97.1568068,49.81922867,ro
29810,-77.64946946,43.09824188,ro
1176,-79.47847273,43.81041844,ko
1215,-77.40284002,39.41958902,ko
1174,-76.40118847,39.41583203,ro
23059,-90.82799362,38.56260317,ro
23058,-90.8618849,38.54017542,ro
1171,-122.4299285,45.55433486,ko
1170,-76.38571042,39.70105473,ro
23507,-84.25893501,34.13496799,ko
23054,-91.97931779,38.98068031,ro
23505,-88.09707851,41.71377776,ro
23504,-88.09707617,41.71357578,ko
1179,-119.8131709,46.56302708,ro
23052,-97.17737597,35.31909788,ko
27613,-94.73807107,16.57195058,ko
27612,-94.96703969,16.52445233,ko
27610,-96.537642,18.05775488,ko
29388,-88.34729918,41.3518796,ko
29750,-75.89276081,41.30780232,ko
29431,-111.9381869,33.70314379,ko
29922,-77.4397233,37.87894328,ko
7188,-105.0191463,35.10075755,ro
7189,-102.5699866,34.1813516,ro
31230,-110.8641431,27.93736744,ko
31231,-75.6249999,44.87013129,ro
31236,-77.64794319,43.09802126,ro
31235,-104.8137083,41.11239579,ko
29101,-103.5709631,25.49375578,ro
29100,-96.49658469,36.07688911,ko
31238,-103.3021236,32.7134836,ko
29105,-91.53891492,40.92371682,ro
7185,-85.00044486,35.95515438,ko
29106,-91.82317656,46.35870049,ko
12000,-83.0398295,42.56217239,ko
3433,-105.8359422,43.02170894,ko
621,-111.9228707,40.62220346,ko
9334,-86.03808922,40.72848704,ko
620,-74.09857464,40.73798016,ro
15289,-94.25431499,32.54327514,ko
8548,-96.95956997,32.64903601,ko
8018,-112.6144096,44.08999799,ko
8017,-112.9773385,44.9884049,ko
8544,-96.10574546,32.12631843,ko
8015,-112.926359,43.53369082,ro
8014,-108.4596912,43.25847528,ko
8013,-108.4111655,43.01828349,ro
8012,-107.6199493,43.31076739,ko
8543,-95.39546953,31.36438735,ko
8542,-94.9932564,31.93777616,ro
7456,-95.9616898,41.34325282,ko
7457,-95.94442104,41.32761583,ko
7454,-116.2550439,33.7428573,ko
7455,-95.24994029,37.36811428,ro
7452,-97.06642258,36.6547792,ko
7453,-116.1965954,33.74290493,ko
7450,-97.13631178,36.63511581,ko
2036,-79.06627865,38.14775514,ko
7458,-96.0034728,41.34300606,ko
7459,-116.2870542,33.79768179,ro
23124,-97.54698744,32.64938739,ko
629,-111.8965998,40.53942605,ko
4594,-95.03234087,39.26224557,ro
28380,-117.6424222,33.66696006,ro
2746,-81.60160563,30.0741231,ko
28381,-78.71969691,43.8701532,ro
10886,-85.89272655,37.12042382,ko
13600,-88.30225602,42.25486584,ko
23123,-97.54836447,32.64589501,ko
22678,-85.74824285,34.88002957,ko
10883,-85.68165112,36.99724092,ko
22676,-85.91697933,34.68833808,ko
22677,-85.92550893,34.69257597,ko
22674,-86.0035639,34.55145292,ko
1228,-120.9004277,45.23090366,ro
22672,-94.98700393,38.74547199,ko
22673,-86.25779135,34.27030292,ko
22670,-86.29075763,32.30776156,ro
22671,-96.46654493,38.63250807,ko
28877,-104.0665556,40.86323045,ko
8291,-99.35343228,38.92869631,ko
134,-117.5552074,33.36866457,ko
26569,-81.6627945,35.7210393,ko
6534,-97.49811814,37.65854065,ko
30386,-123.6836503,48.3955551,ko
29175,-97.15738487,49.86157763,ko
24704,-82.35711963,42.61026446,ko
8295,-97.26156335,32.99193081,ko
24700,-95.14155459,35.56676392,ko
24701,-95.18634126,35.62450756,ro
24702,-95.18497529,35.63007658,ko
24703,-95.1289638,35.55641495,ro
16885,-118.142992,33.87422637,ko
1314,-79.68870061,45.01815352,ko
13608,-89.31829596,42.29289586,ko
8297,-84.31206776,33.53491552,ko
30382,-77.63648666,37.47269714,ko
393,-117.3203139,34.04096191,ro
392,-79.61744285,43.54799202,ko
391,-79.73365066,43.52776208,ro
390,-79.41657285,43.83993279,ko
397,-111.9289109,40.70720428,ko
396,-111.9161683,40.58956027,ko
395,-79.64667632,43.80445932,ko
22012,-74.44447312,42.43337347,ko
399,-117.6785747,33.99857366,ro
398,-79.25768847,43.8597325,ko
