l_id,v_id_1,v_id_2,voltage,cables,length_m
32224,23266,8734,345000.0,12.0,3297.932878
32225,2388,8736,nan,6.0,31416.95715
32227,8735,8736,nan,3.0,154.2261634
32220,8727,8728,345000.0,6.0,14018.21343
32222,8508,8730,nan,3.0,16389.57708
32223,11885,8734,nan,12.0,1668.488861
32228,8685,8738,345000.0,12.0,19489.0587
32229,297,8738,345000.0,21.0,36607.67688
41067,19586,1590,nan,3.0,3390.526702
3746,20302,31202,nan,6.0,227.2841694
3747,20029,31202,500000.0,2.0,149.9002628
270,21475,29750,230000.0,3.0,36860.15915
6819,8839,28881,345000.0,18.0,7881.797601
15709,21807,23628,nan,3.0,359.5789112
15700,9557,23623,230000.0,24.0,61100.44102
15701,19072,23624,230000.0,6.0,10471.58063
6813,23282,28878,nan,3.0,944.21865
6812,9000,28878,nan,3.0,10407.60524
6815,23281,28879,nan,3.0,31.19257265
6814,23281,28878,nan,3.0,4595.28973
15707,21807,23627,nan,3.0,341.9421364
9757,19992,20956,nan,3.0,17887.47733
9756,20955,20956,nan,3.0,16.73937518
9755,17974,20956,nan,3.0,877.8871488
9754,3515,20955,nan,3.0,2463.857682
9753,17974,20955,nan,3.0,888.3931811
9752,3627,20954,230000.0,24.0,35253.23056
9751,3588,20953,230000.0,3.0,15632.84156
9750,20945,20953,230000.0,6.0,2608.61218
9759,3634,20957,nan,3.0,651.093906
9758,19998,20957,nan,3.0,9909.802895
37305,412,408,345000.0,6.0,5217.239807
37306,435,408,345000.0,6.0,3904.050446
37307,431,408,345000.0,9.0,74321.52728
24142,539,19291,nan,3.0,5294.998032
24143,1133,19291,nan,3.0,109.0030416
24140,4157,27549,400000.0,3.0,19756.93327
24141,402,19291,nan,3.0,2830.877194
37076,26239,14441,nan,3.0,1546.13471
18531,12007,24890,nan,3.0,3720.316904
18532,18449,24891,nan,3.0,50159.13454
37075,9924,341,230000.0,21.0,14117.18068
33750,23998,10387,230000.0,9.0,1753.293798
30334,1276,6896,nan,3.0,2874.810546
15160,23398,23399,345000.0,3.0,243.1941938
30337,6901,6902,230000.0,3.0,11936.04927
30330,12414,6888,230000.0,3.0,32656.77187
30331,322,6891,500000.0,3.0,68444.90714
30332,1834,6891,500000.0,6.0,4434.736349
15163,23400,23401,345000.0,6.0,5031.529043
15166,22477,23403,345000.0,6.0,39655.04199
15167,23401,23403,345000.0,3.0,261.1634216
23262,27151,27152,230000.0,6.0,1460.93702
23260,16962,27152,230000.0,6.0,8415.423192
6778,8603,28863,345000.0,3.0,8720.726675
6779,28862,28863,138000.0,3.0,29084.20851
6774,8599,28862,345000.0,9.0,45070.65094
6777,8571,28863,345000.0,3.0,23817.73198
6770,7268,28861,230000.0,3.0,27684.2018
6772,4651,28862,345000.0,3.0,2181.106987
5054,30595,28250,230000.0,6.0,6588.538249
5056,25421,28253,nan,3.0,1579.392859
5052,25273,28250,230000.0,3.0,6521.5737
5053,25274,28250,230000.0,12.0,6275.383057
38568,15998,15997,nan,8.0,6919.935809
38562,27035,15988,nan,9.0,374.8821401
38564,10837,15991,nan,3.0,23622.02361
18892,12432,25047,230000.0,6.0,108.4158721
18891,12430,25047,230000.0,3.0,4454.352195
18890,6691,25047,230000.0,3.0,5275.570088
19090,17931,25137,nan,3.0,12006.06536
